source,target,type,value
Imports of dri,DRI,DRI,17.48
Imports of scrap steel,Scrap steel,Scrap steel,104.86
Imports of bof steel,BOF steel,BOF steel,0
Imports of eaf steel,EAF steel,EAF steel,0
Imports of ingots and semis,Ingots and semis,Ingots and semis,326.34
Imports of long products,Long products,Long products,1088.78
Imports of flat products,Flat products,Flat products,4584.44
Imports of end-use goods,End-use goods,End-use goods,6640.4212
Imports of loss,Loss,Loss,0
Imports of generated scrap,Scrap steel,Generated scrap,0
Iron ore,Exports of iron ore,Balancing flows,0
Imports of iron ore,Iron ore,Balancing flows,0
Pig iron,Exports of pig iron,Balancing flows,0
Imports of pig iron,Pig iron,Balancing flows,0
DRI,Exports of dri,Balancing flows,0
Imports of dri,DRI,Balancing flows,0
Scrap steel,Exports of scrap steel,Balancing flows,0
Imports of scrap steel,Scrap steel,Balancing flows,0
BOF steel,Exports of bof steel,Balancing flows,0
Imports of bof steel,BOF steel,Balancing flows,0
EAF steel,Exports of eaf steel,Balancing flows,0
Imports of eaf steel,EAF steel,Balancing flows,0
Ingots and semis,Exports of ingots and semis,Balancing flows,0
Imports of ingots and semis,Ingots and semis,Balancing flows,0
Long products,Exports of long products,Balancing flows,0
Imports of long products,Long products,Balancing flows,0
Flat products,Exports of flat products,Balancing flows,0
Imports of flat products,Flat products,Balancing flows,0
End-use goods,Exports of end-use goods,Balancing flows,0
Imports of end-use goods,End-use goods,Balancing flows,0
Exports,Loss,Balancing flows,0
Imports of loss,Loss,Balancing flows,0
Exports,Scrap steel,Balancing flows,0
Imports of scrap steel,Scrap steel,Balancing flows,0
Production of iron ore,Iron ore,Iron ore,0
Reference flow start,Reference flow end,Reference,30000
